epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,45.9565,1.24913,1.56848,1.34245,0.91644,0.87997,0.93236,0.72975,0.63486,16.3331,0.9122,0.00997159,0.00332386,0.00997159,0.00332386,0.00997159,0.00332386,0.00997159,0.00332386
2,88.6687,0.81325,0.70047,1.01499,0.95072,0.94431,0.97098,0.79473,0.52173,7.69522,0.8494,0.0198727,0.00662424,0.0198727,0.00662424,0.0198727,0.00662424,0.0198727,0.00662424
3,129.424,0.77657,0.60583,0.99864,0.89735,0.93815,0.95937,0.80012,0.50653,5.22757,0.82653,0.0296749,0.00989162,0.0296749,0.00989162,0.0296749,0.00989162,0.0296749,0.00989162
4,168.97,0.69716,0.51822,0.97004,0.97231,0.96043,0.98515,0.81767,0.44325,1.46843,0.78813,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,208.224,0.60657,0.44024,0.93667,0.97657,0.97328,0.99169,0.88196,0.368,0.55954,0.771,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,247.302,0.54261,0.39743,0.91567,0.98872,0.97466,0.99177,0.87043,0.35273,0.47073,0.76543,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,286.665,0.50835,0.37397,0.90335,0.9789,0.96991,0.9909,0.89317,0.33957,0.96597,0.75377,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,326.347,0.47489,0.35144,0.89157,0.98248,0.98428,0.99274,0.9268,0.27872,1.11054,0.73404,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,366.926,0.45131,0.33772,0.88216,0.97884,0.973,0.9906,0.9039,0.29037,0.44921,0.73939,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,406.737,0.43445,0.32675,0.87986,0.98478,0.97268,0.99255,0.92963,0.26378,0.60942,0.73001,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,446.957,0.41739,0.31013,0.87259,0.98877,0.98989,0.99389,0.94081,0.23559,0.27032,0.72141,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,486.867,0.40419,0.3055,0.86679,0.99182,0.99083,0.99428,0.93102,0.23033,0.20625,0.72109,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,527.71,0.38934,0.29476,0.86101,0.99101,0.99532,0.99467,0.94116,0.21456,0.22978,0.71378,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,567.753,0.37916,0.28697,0.85964,0.99174,0.99628,0.99474,0.94883,0.2019,0.21301,0.71076,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,606.633,0.36775,0.28312,0.85774,0.99259,0.99416,0.99487,0.94978,0.20309,0.297,0.70665,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
